"","wetland_name","property","subshed_area_m2","watershed_area_m2","wetland_storage_volume_m3","wetland_hsc_cm","watershed_hsc_cm","perimeter_m","area_m2","p_a_ratio","hand_m","mean_elevation_m","wet_order"
"82","JA","Baltimore Corner North",7301.00000003166,49373.000000773,129.497672985954,1.7736977535323,4.52983545548755,136,703.0004,0.193456504434421,1.0695428699043,18.70228845276,4
"91","JC","Baltimore Corner North",24135.9999990258,31294.0000003148,339.314816722032,1.40584527981326,2.33124511728867,162,1015.0014,0.159605691184268,1.14938790081757,18.7578104742783,2
"105","JB","Baltimore Corner North",10777.9999999944,42072.0000007134,1377.47813947528,12.7804614907774,5.00812413588895,270,2666.9985,0.101237402270755,0.99397483728421,18.6128655888192,3
"115","Nate's Bay","Baltimore Corner North",5567.99999994226,9410.99999999255,158.673913721546,2.84974701370674,4.68307467058447,112,500.999,0.223553340425829,1.40686598985257,19.208246756374,2
"151","Tiger Paw A","Jackson Lane",6301.00000000559,6301.00000000559,849.132069591981,13.4761477478373,13.4761477478373,170,1287.0014,0.132089988402499,1.86972565417523,16.1497267197601,1
"156","Dank Bay","Jackson Lane",2100.99999997579,2100.99999997579,340.490198353158,16.206101778062,16.206101778062,110,568.9995,0.193321786750252,1.02609280249356,15.9746573488973,1
"156.1","Dank Bay","Jackson Lane",2100.99999997579,2100.99999997579,340.490198353158,16.206101778062,16.206101778062,110,568.9995,0.193321786750252,1.02609280249356,15.9746573488973,1
"176","Tiger Paw B","Jackson Lane",7449.00000000559,7449.00000000559,904.141255684704,12.1377534660226,12.1377534660226,212,1907,0.11116937598322,1.72251596835876,16.0224164905563,1
"176.1","Tiger Paw B","Jackson Lane",7449.00000000559,7449.00000000559,904.141255684704,12.1377534660226,12.1377534660226,212,1907,0.11116937598322,1.72251596835876,16.0224164905563,1
"193","Flux Natural","Jackson Lane",9593.99999997951,93806.0000011157,356.068163165996,3.71136296817549,6.08201774037404,308,1084.9995,0.28387109855811,1.70619942361858,16.0179640346508,4
"236","North Dog Bone","Jackson Lane",3907.99999997392,3907.99999997392,972.202427790813,24.877237149368,24.877237149368,174,1364,0.127565982404692,0.676234693471288,14.7441717632339,1
"236.1","North Dog Bone","Jackson Lane",3907.99999997392,3907.99999997392,972.202427790813,24.877237149368,24.877237149368,174,1364,0.127565982404692,0.676234693471288,14.7441717632339,1
"236.2","North Dog Bone","Jackson Lane",3907.99999997392,3907.99999997392,972.202427790813,24.877237149368,24.877237149368,174,1364,0.127565982404692,0.676234693471288,14.7441717632339,1
"252","Tree Stand","Jackson Lane",4409.00000003166,7782.00000001676,334.371405756497,7.58383773540703,5.70889782043269,136,676.0004,0.201183312909282,1.03390197076741,14.7987469948695,2
"252.1","Tree Stand","Jackson Lane",4409.00000003166,7782.00000001676,334.371405756497,7.58383773540703,5.70889782043269,136,676.0004,0.201183312909282,1.03390197076741,14.7987469948695,2
"254","Dark Bay","Jackson Lane",8616.99999999069,16399.0000000093,344.894038154767,4.00248390571127,4.81224749400176,168,896.9985,0.187291283095791,0.412820073938954,14.1849073385684,3
"254.1","Dark Bay","Jackson Lane",8616.99999999069,16399.0000000093,344.894038154767,4.00248390571127,4.81224749400176,168,896.9985,0.187291283095791,0.412820073938954,14.1849073385684,3
"254.2","Dark Bay","Jackson Lane",8616.99999999069,16399.0000000093,344.894038154767,4.00248390571127,4.81224749400176,168,896.9985,0.187291283095791,0.412820073938954,14.1849073385684,3
"255","Baby Doll","Jackson Lane",3372.99999998789,3372.99999998789,109.895022630532,3.25807953249114,3.25807953249114,132,379,0.348284960422164,1.33760015190749,15.1088240640321,1
"255.1","Baby Doll","Jackson Lane",3372.99999998789,3372.99999998789,109.895022630532,3.25807953249114,3.25807953249114,132,379,0.348284960422164,1.33760015190749,15.1088240640321,1
"299","Tree Island","Baltimore Corner South",14489.9999998603,14489.9999998603,2020.18636128329,13.9419348606126,13.9419348606126,274,3182.0009,0.086109340823882,0.355158166267975,18.1313590556382,1
"312","Hummock Bay","Baltimore Corner",4430.99999999069,148941.000000196,193.341126075697,4.36337454471006,6.28123890862503,120,619.999,0.193548699272096,0.278020314303311,18.2805918652495,7
"312.1","Holly Tree Channel","Baltimore Corner",4430.99999999069,148941.000000196,193.341126075697,4.36337454471006,6.28123890862503,120,619.999,0.193548699272096,0.278020314303311,18.2805918652495,7
"317","Mixing Bay","Baltimore Corner",6651.0000000149,138861.999999421,982.032922659487,14.765192041156,6.38789787202332,244,1765.999,0.13816542364973,0.398477154905196,18.4660298622075,5
"317.1","Mixing Bay","Baltimore Corner",6651.0000000149,138861.999999421,982.032922659487,14.765192041156,6.38789787202332,244,1765.999,0.13816542364973,0.398477154905196,18.4660298622075,5
"321","Origin Bay","Baltimore Corner",10598,21253.0000000764,50.2838323022873,0.474465298191049,1.78771642011358,142,421.0014,0.337291039887278,0.746472641861071,18.8357325992306,3
"327","Origin Bay","Baltimore Corner",4084.9999999553,10654.9999999944,125.660081243268,3.07613417979542,3.09394217236969,120,469.9995,0.255319420552575,0.670438547337309,18.7205168867231,2
"327.1","Origin Bay","Baltimore Corner",4084.9999999553,10654.9999999944,125.660081243268,3.07613417979542,3.09394217236969,120,469.9995,0.255319420552575,0.670438547337309,18.7205168867231,2
"341","Quintessential Bay","Baltimore Corner South",7053.00000006892,44515.9999990929,298.469058574813,4.23180290049477,21.0652378512959,122,777,0.157014157014157,0.500857403533032,18.3378487931134,1
"342","Dragon Fly Bay","Baltimore Corner South",23906.9999997187,44515.9999990929,2825.78458474439,11.8199045667697,21.0652378512959,418,6410.0024,0.065210584008518,0.448386468158311,18.3024725386201,1
